Num: b0=0 b1=0 b2=2 b3=31 size=4
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 dc ef f0 f1 f2 f3 f4 00 00 00)
  MSXN  [ui8 ]  29 (bytes 1d)
  MSXP  [ui32]  0 (bytes 00 00 00 00)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  48 (bytes 30)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  NACK  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  2 (bytes 02)
  NATi  [ui16]  25 (bytes 00 19)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui8 ]  (bytes 00 00)
  OOBR  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [ui8 ]  (bytes 00 00)
  OOBW  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  PAPC  [sp78]  (bytes 00 4e)
  PB1R  [sp78]  (bytes 00 08)
  PBLC  [sp78]  (bytes 00 56)
  PC0R  [sp78]  (bytes 13 47)
  PC1C  [sp78]  (bytes 00 01)
  PCLT  [sp78]  (bytes 12 18)
  PCPC  [sp78]  (bytes 0d dc)
  PCPG  [sp78]  (bytes 00 00)
  PCPT  [sp78]  (bytes 10 ec)
  PCS0  [sp78]  (bytes 11 03)
  PCS1  [sp78]  (bytes 00 bb)
  PDTR  [sp78]  (bytes 1a 9e)
  PHPC  [sp78]  (bytes 13 47)
  PLDC  [sp78]  (bytes 00 00)
  PM0C  [sp78]  (bytes 01 13)
  PM3C  [sp78]  (bytes 01 2e)
  PO0R  [sp78]  (bytes 12 ba)
  PPBR  [sp78]  (bytes 01 ba)
  PR0C  [sp78]  (bytes 00 27)
  PR5C  [sp78]  (bytes 00 28)
  PS2C  [sp78]  (bytes 00 00)
  PSDC  [sp78]  (bytes 01 85)
  PSTR  [sp78]  (bytes 14 02)
  PTHC  [flt ]  (bytes 00 00 e0 41)
  PZ0E  [flt ]  (bytes 00 00 e0 41)
  PZ0F  [flt ]  (bytes 11 76 89 41)
  PZ0T  [flt ]  (bytes 00 00 00 00)
  PZ1E  [flt ]  (bytes 06 67 f6 40)
  PZ1F  [flt ]  (bytes 00 00 50 3e)
  PZ1T  [flt ]  (bytes 00 00 00 00)
  QCEC  [si8 ]  (bytes 00)
  QCFE  [flt ]  (bytes 00 00 00 00)
  QCHA  [flt ]  (bytes 00 00 00 00)
  QCHE  [flt ]  (bytes 00 00 00 00)
  QCHa  [si8 ]  (bytes ff)
  QCLA  [flt ]  (bytes cd cc 1e 3e)
  QCLE  [flt ]  (bytes 00 00 00 00)
  QCLV  [ui8 ]  8 (bytes 08)
  QCLa  [si8 ]  (bytes 01)
  QCLv  [flt ]  (bytes 7b 14 fe 3c)
  QCPE  [flt ]  (bytes 00 00 00 00)
  QECI  [ui8 ]  (bytes 00)
  QECS  [ui8 ]  (bytes 00)
  QENA  [flag]  (bytes 01)
  QENN  [flag]  (bytes 01)
  QERI  [hex_]  (bytes 00 00 00 00)
  QERR  [hex_]  (bytes 00 00 00 00)
  QERS  [hex_]  (bytes 00 00 00 00)
  QFL!  [hex_]  (bytes 00)
  QIEC  [si8 ]  (bytes 00)
  QIFE  [flt ]  (bytes 00 00 00 00)
  QIHA  [flt ]  (bytes 00 00 00 00)
  QIHE  [flt ]  (bytes 00 00 00 00)
  QIHa  [si8 ]  (bytes ff)
  QILA  [flt ]  (bytes 00 00 00 00)
  QILE  [flt ]  (bytes 00 00 00 00)
  QILV  [ui8 ]  0 (bytes 00)
  QILa  [si8 ]  (bytes ff)
  QILv  [flt ]  (bytes 00 00 00 00)
  QIPE  [flt ]  (bytes 00 00 00 00)
  QVER  [ui8 ]  1 (bytes 01)
  RBr   [ch8*]  (bytes 6a 34 31 6a 34 33 00 00)
  REV   [{rev]  (bytes 02 13 0f 00 00 15)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6a 34 33 00 00 00 00 00)
